CURP,RFC,idSucursal,nombre,apellidoP,apellidoM,edad,tipoSangre,fechaInicio,numSeguridad,nomina,numlic,transporte
LEHM19901110MMLAA3,RC8HXGCWN3M0P,9,Maximilian,Le Breton De La Vieuville,Hablot,35,"B+ ",2018-02-13 00:00:00.000,1547,2700.00,603421574,RX Hybrid
LEPG19811219MGTRI6,O20V3UHDGSW1C,5,Giffie,Letixier,Pratley,39,"B- ",2018-02-12 00:00:00.000,8250,2700.00,277072191,GTI
LOBS19831229FSTAA6,TNJYNEMG6JU4F,11,Sanson,Lots,Barthelemy,25,"A+ ",2018-01-20 00:00:00.000,2258,2700.00,822574354,Intrepid
LOTR19931026MRSOO7,VY4UFKH9M3S1A,20,Robb,Losemann,Tollerton,39,"B- ",2018-02-07 00:00:00.000,4329,2700.00,125137789,Sable
MAVC19931124MCBIH8,15Q3GGOJN5ZJ3,13,Chucho,Mabbitt,Viollet,45,"O+ ",2018-01-23 00:00:00.000,2475,2700.00,494583202,Continental
MCEA19941016FAHMR2,9X5A9F3CJR4SY,15,Arabel,Mc Harg,Emanueli,23,"A+ ",2018-01-28 00:00:00.000,2613,2700.00,258686672,S-Type
MCSL19801010MLAEO4,IS78MPHL0GA56,7,Lonny,McAnulty,Sego,44,"O+ ",2018-01-18 00:00:00.000,7640,2700.00,174842212,Countach
MOTD19821127MDUWE4,075118VCAF9ZW,12,Debby,Mounter,Twycross,49,"O- ",2018-01-18 00:00:00.000,7688,2700.00,857553100,190E
MUCI19871124MIIHV7,U4OBIQR4I936T,10,Ivette,Muirhead,Chuter,56,AB-,2018-01-26 00:00:00.000,7923,2700.00,830119462,Monterey
OBTP19931123FPCRI5,7F0HA0UT3XZL1,12,Pippa,O'Criane,Treffry,20,"A+ ",2018-01-25 00:00:00.000,3547,2700.00,508399113,Altima
OLMJ19881115MJYEE9,K00NNAL43N0P9,11,Jephthah,Olyet,Mellmoth,58,AB-,2018-02-15 00:00:00.000,2555,2700.00,919395456,F150
ONWG19931020FGEOE3,52DO9O1SGHALU,19,Geri,Oneill,Woolrich,31,"B+ ",2018-02-05 00:00:00.000,6961,2700.00,888977734,Tracer
PIHE19841211FETAV7,9PQ6MWWJMJHKT,8,Everard,Pitkethly,Hanstock,34,"B+ ",2018-02-07 00:00:00.000,3277,2700.00,378793010,Flex
REHL19911019MLAOU9,L3KKSCE70UV86,15,Ludovika,Reah,Horstead,46,"O- ",2018-01-26 00:00:00.000,4990,2700.00,931359362,LX
ROHO19941021MOSAL2,HONPVWSEE39BE,17,Olga,Roskruge,Haggleton,49,"O- ",2018-02-14 00:00:00.000,2467,2700.00,513959044,LTD Crown Victoria
ROLC19981014MCWOA3,3MKW2OFX89YDF,18,Cazzie,Rowthorn,Louedey,56,AB-,2018-02-08 00:00:00.000,6894,2700.00,955251690,Diamante
SAHC19991025FCBOH1,9PGKW6P7LN7R2,2,Chan,Sabban,Hooks,25,"A+ ",2018-02-12 00:00:00.000,8742,2700.00,895637709,Explorer Sport Trac
SHEA19991023FAADL8,SKZ36I19X9UFJ,4,Alanson,Shafier,Edghinn,31,"B+ ",2018-02-01 00:00:00.000,9039,2700.00,360497468,Dakota Club
SPRA19831210MAOON5,JAFJKXA01J02V,4,Anet,Spofforth,Rolfo,56,AB-,2018-02-14 00:00:00.000,8090,2700.00,127696445,i-MiEV
STMG19931213FGUOI3,JXRIXM4UJGB08,5,Giuseppe,Stut,Morford,33,"B+ ",2018-01-30 00:00:00.000,8163,2700.00,431571751,3500
STSC19911120FCOCO4,1MJR0Y6XCYKGM,18,Cordell,Stobbs,Schinetti,30,"A- ",2018-02-09 00:00:00.000,7603,2700.00,241869582,S90
TOVK19931019MKFEN2,FYRAITRA682Y9,17,Knox,Tofanelli,Veevers,44,"O+ ",2018-02-07 00:00:00.000,9248,2700.00,973766899,Navigator
VISQ19841115MQTHU9,R63BF8O1X4V2I,13,Querida,Vitler,Shillitoe,39,"B- ",2018-02-05 00:00:00.000,2143,2700.00,101048391,TSX
WAPE19941112FELAS3,NYXB7S4W35VDT,9,Estella,Walch,Pauletto,22,"A+ ",2018-02-05 00:00:00.000,9318,2700.00,493579921,Neon
WODC19851018MCOEL5,ZIJ8AVFN1HRAG,2,Clarisse,Woodley,De Blase,59,AB-,2018-02-06 00:00:00.000,9680,2700.00,689471641,3 Series
ZUTA19861113FAPHR8,5ZVQK7C88IL6W,1,Arabel,Zupone,Thomkins,34,"B+ ",2018-01-17 00:00:00.000,8379,2700.00,371966033,F250
