numPedidoDE,idP,idCliente,fechaPedido,formaPago,CURP
64,64,6507,2019-09-21 00:00:00.000,Efectivo,BOPT19801122MTSAR8
65,65,6520,2019-01-12 00:00:00.000,Tarjeta,WAPE19941112FELAS3
66,66,6549,2018-04-18 00:00:00.000,Efectivo,MOTD19821127MDUWE4
67,67,6552,2019-08-17 00:00:00.000,Efectivo,MUCI19871124MIIHV7
68,68,6600,2018-03-16 00:00:00.000,Efectivo,SAHC19991025FCBOH1
69,69,6692,2019-12-15 00:00:00.000,Efectivo,SPRA19831210MAOON5
70,70,7001,2019-09-08 00:00:00.000,Tarjeta,LOBS19831229FSTAA6
71,71,7093,2019-06-09 00:00:00.000,Tarjeta,STMG19931213FGUOI3
72,72,7157,2019-01-26 00:00:00.000,Efectivo,ONWG19931020FGEOE3
73,73,7173,2019-12-06 00:00:00.000,Tarjeta,ONWG19931020FGEOE3
74,74,7178,2019-05-12 00:00:00.000,Tarjeta,OLMJ19881115MJYEE9
75,75,7250,2019-02-05 00:00:00.000,Tarjeta,STSC19911120FCOCO4
76,76,7294,2019-08-22 00:00:00.000,Efectivo,SAHC19991025FCBOH1
77,77,7297,2018-04-04 00:00:00.000,Tarjeta,ZUTA19861113FAPHR8
78,78,7381,2019-03-24 00:00:00.000,Efectivo,CHSA19951215FAAML6
79,79,7637,2019-05-12 00:00:00.000,Tarjeta,LEPG19811219MGTRI6
80,80,7929,2019-08-04 00:00:00.000,Tarjeta,WODC19851018MCOEL5
81,81,8004,2019-11-13 00:00:00.000,Tarjeta,MAVC19931124MCBIH8
82,82,8047,2018-04-29 00:00:00.000,Efectivo,MCEA19941016FAHMR2
83,83,8054,2019-05-16 00:00:00.000,Efectivo,TOVK19931019MKFEN2
84,84,8061,2019-09-30 00:00:00.000,Efectivo,LOTR19931026MRSOO7
85,85,8201,2019-08-25 00:00:00.000,Efectivo,DEPJ19961026FJNAA1
86,86,8219,2019-11-02 00:00:00.000,Tarjeta,ONWG19931020FGEOE3
87,87,8241,2019-05-19 00:00:00.000,Efectivo,BRAK19861115MKARA1
88,88,8254,2018-03-26 00:00:00.000,Efectivo,ONWG19931020FGEOE3
89,89,8311,2018-11-04 00:00:00.000,Tarjeta,STMG19931213FGUOI3
90,90,8671,2019-08-11 00:00:00.000,Tarjeta,LEBC19831123FCMER7
91,91,8896,2019-08-21 00:00:00.000,Efectivo,TOVK19931019MKFEN2
92,92,9025,2018-05-09 00:00:00.000,Tarjeta,SHEA19991023FAADL8
93,93,9387,2018-06-22 00:00:00.000,Efectivo,LEPG19811219MGTRI6
94,94,9400,2018-08-25 00:00:00.000,Efectivo,CHDL19911124MLEUI2
95,95,9521,2019-06-09 00:00:00.000,Tarjeta,MCSL19801010MLAEO4
96,96,9523,2019-01-03 00:00:00.000,Tarjeta,MCSL19801010MLAEO4
97,97,9556,2018-09-13 00:00:00.000,Tarjeta,FUHL19931022MLSAY5
98,98,9858,2019-02-18 00:00:00.000,Efectivo,MAVC19931124MCBIH8
99,99,9902,2019-02-24 00:00:00.000,Efectivo,ROHO19941021MOSAL2
100,100,9962,2018-10-29 00:00:00.000,Efectivo,WODC19851018MCOEL5
